DATE,Permit_totals,New_construction,New_units_sold_total,Unemployment_rate,CS_HPI,Pvt_const_cost
01/01/93,1177,1210,596,7.3,76.784,194150
01/02/93,1148,1210,604,7.1,76.837,194689
01/03/93,1056,1083,602,7,76.868,190185
01/04/93,1104,1258,701,7.1,76.936,198296
01/05/93,1112,1260,626,7.1,77.037,198835
01/06/93,1130,1280,653,7,77.242,203175
01/07/93,1174,1254,655,6.9,77.429,208760
01/08/93,1230,1300,645,6.8,77.612,212238
01/09/93,1251,1343,726,6.7,77.794,214446
01/10/93,1287,1392,704,6.8,77.941,214778
01/11/93,1357,1376,769,6.6,78.148,227235
01/12/93,1461,1533,812,6.5,78.326,235648
01/01/94,1390,1272,619,6.6,78.591,238612
01/02/94,1269,1337,686,6.6,78.727,236577
01/03/94,1342,1564,747,6.5,78.856,235150
01/04/94,1392,1465,692,6.4,78.987,244746
01/05/94,1396,1526,691,6.1,79.222,244056
01/06/94,1357,1409,621,6.1,79.423,244032
01/07/94,1335,1439,628,6.1,79.595,245463
01/08/94,1377,1450,656,6,79.782,243134
01/09/94,1412,1474,677,5.9,79.92,242619
01/10/94,1397,1450,715,5.8,80.065,234905
01/11/94,1340,1511,646,5.6,80.15,239857
01/12/94,1396,1455,629,5.5,80.296,241395
01/01/95,1282,1407,626,5.6,80.427,241184
01/02/95,1254,1316,559,5.4,80.528,234257
01/03/95,1226,1249,616,5.4,80.598,228013
01/04/95,1259,1267,621,5.8,80.661,225488
01/05/95,1271,1314,674,5.6,80.703,222062
01/06/95,1305,1281,725,5.6,80.784,218972
01/07/95,1354,1461,765,5.7,80.937,224113
01/08/95,1386,1416,701,5.7,81.11,226045
01/09/95,1421,1369,678,5.6,81.306,228688
01/10/95,1400,1369,696,5.5,81.482,227589
01/11/95,1430,1452,664,5.6,81.619,231913
01/12/95,1442,1431,709,5.6,81.737,235572
01/01/96,1387,1467,714,5.6,81.835,240958
01/02/96,1420,1491,769,5.5,81.954,243695
01/03/96,1437,1424,721,5.5,82.194,249952
01/04/96,1463,1516,736,5.6,82.421,252836
01/05/96,1457,1504,746,5.6,82.61,259296
01/06/96,1429,1467,721,5.3,82.752,263085
01/07/96,1450,1472,770,5.5,82.928,263549
01/08/96,1413,1557,826,5.1,83.087,263618
01/09/96,1392,1475,770,5.2,83.257,265677
01/10/96,1358,1392,720,5.2,83.377,261444
01/11/96,1412,1489,771,5.4,83.553,259668
01/12/96,1411,1370,805,5.4,83.721,253234
01/01/97,1382,1355,830,5.3,83.956,255365
01/02/97,1445,1486,801,5.2,84.181,258595
01/03/97,1436,1457,831,5.2,84.452,264566
01/04/97,1421,1492,744,5.1,84.623,257490
01/05/97,1414,1442,760,4.9,84.862,264581
01/06/97,1402,1494,793,5,85.08,262299
01/07/97,1440,1437,805,4.9,85.332,261593
01/08/97,1449,1390,815,4.8,85.573,263951
01/09/97,1494,1546,840,4.9,85.851,270511
01/10/97,1499,1520,800,4.7,86.147,272980
01/11/97,1469,1510,864,4.6,86.632,272786
01/12/97,1456,1566,793,4.7,87.093,269192
01/01/98,1555,1525,872,4.6,87.615,276485
01/02/98,1647,1584,866,4.6,88.003,279249
01/03/98,1605,1567,836,4.7,88.442,291505
01/04/98,1547,1540,866,4.3,88.879,288409
01/05/98,1554,1536,887,4.4,89.363,292879
01/06/98,1551,1641,923,4.5,89.844,296632
01/07/98,1610,1698,876,4.5,90.31,296717
01/08/98,1654,1614,846,4.5,90.786,299495
01/09/98,1577,1582,864,4.6,91.259,305345
01/10/98,1719,1715,893,4.5,91.718,308127
01/11/98,1672,1660,995,4.4,92.2,307899
01/12/98,1742,1792,949,4.4,92.713,302650
01/01/99,1732,1748,875,4.3,93.208,305968
01/02/99,1720,1670,848,4.4,93.671,307914
01/03/99,1665,1710,863,4.2,94.217,316822
01/04/99,1600,1553,918,4.3,94.785,316111
01/05/99,1640,1611,888,4.2,95.345,320326
01/06/99,1702,1559,923,4.3,95.976,322905
